 
****************************************
Report : area
Design : network_4x4_DATA_WIDTH32_DATA_WIDTH_LV11
Version: M-2016.12
Date   : Fri Nov 17 14:18:14 2017
****************************************

Library(s) Used:

    c18_CORELIB_TYP (File: /cad/dk/s/v4.11/c18_1.8V/c18_CORELIB_TYP.db)

Number of ports:                        36131
Number of nets:                        106833
Number of cells:                        65912
Number of combinational cells:          51800
Number of sequential cells:             13680
Number of macros/black boxes:               0
Number of buf/inv:                      11322
Number of references:                      17

Combinational area:             778866.686357
Buf/Inv area:                    68877.851871
Noncombinational area:          906103.292847
Macro/Black Box area:                0.000000
Net Interconnect area:          964318.998975

Total cell area:               1684969.979204
Total area:                    2649288.978179

Hierarchical area distribution
------------------------------

                                  Global cell area               Local cell area
                                  ---------------------  -------------------------------- 
Hierarchical cell                 Absolute      Percent  Combi-       Noncombi-    Black-
                                  Total         Total    national     national     boxes   Design
R_1/allocator_unit/arb_L_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_70
R_1/allocator_unit/arb_N_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_74
R_1/allocator_unit/arb_S_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_71
R_1/allocator_unit/arb_W_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_72
R_1/allocator_unit/arb_X_E            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_73
R_1/allocator_unit/arb_X_L            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_70
R_1/allocator_unit/arb_X_N            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_74
R_1/allocator_unit/arb_X_S            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_71
R_1/allocator_unit/arb_X_W            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_72
R_10                               108532.5698      6.4      28.2240       0.0000  0.0000  router_credit_based_DATA_WIDTH32_current_address10_NoC_size4
R_10/FIFO_E                         13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_28
R_10/FIFO_L                         13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_25
R_10/FIFO_N                         13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_29
R_10/FIFO_S                         13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_26
R_10/FIFO_W                         13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_27
R_10/LBDR_E                          3937.2481      0.2    1642.6368    2294.6113  0.0000  LBDR_cur_addr_rst10_NoC_size4_3
R_10/LBDR_L                          3937.2481      0.2    1642.6368    2294.6113  0.0000  LBDR_cur_addr_rst10_NoC_size4_0
R_10/LBDR_N                          3937.2481      0.2    1642.6368    2294.6113  0.0000  LBDR_cur_addr_rst10_NoC_size4_4
R_10/LBDR_S                          3937.2481      0.2    1642.6368    2294.6113  0.0000  LBDR_cur_addr_rst10_NoC_size4_1
R_10/LBDR_W                          3937.2481      0.2    1642.6368    2294.6113  0.0000  LBDR_cur_addr_rst10_NoC_size4_2
R_10/XBAR_E                          2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_28
R_10/XBAR_L                          2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_25
R_10/XBAR_N                          2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_29
R_10/XBAR_S                          2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_26
R_10/XBAR_W                          2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_27
R_10/allocator_unit                  9268.7617      0.6    1140.2496     649.1520  0.0000  allocator_5
