 
****************************************
Report : area
Design : network_4x4_DATA_WIDTH32_DATA_WIDTH_LV11
Version: M-2016.12
Date   : Fri Nov 17 14:18:14 2017
****************************************

Library(s) Used:

    c18_CORELIB_TYP (File: /cad/dk/s/v4.11/c18_1.8V/c18_CORELIB_TYP.db)

Number of ports:                        36131
Number of nets:                        106833
Number of cells:                        65912
Number of combinational cells:          51800
Number of sequential cells:             13680
Number of macros/black boxes:               0
Number of buf/inv:                      11322
Number of references:                      17

Combinational area:             778866.686357
Buf/Inv area:                    68877.851871
Noncombinational area:          906103.292847
Macro/Black Box area:                0.000000
Net Interconnect area:          964318.998975

Total cell area:               1684969.979204
Total area:                    2649288.978179

Hierarchical area distribution
------------------------------

                                  Global cell area               Local cell area
                                  ---------------------  -------------------------------- 
Hierarchical cell                 Absolute      Percent  Combi-       Noncombi-    Black-
                                  Total         Total    national     national     boxes   Design
R_15/allocator_unit                  9268.7617      0.6    1140.2496     649.1520  0.0000  allocator_0
R_15/allocator_unit/arb_E_X           793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_3
R_15/allocator_unit/arb_L_X           793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_0
R_15/allocator_unit/arb_N_X           793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_4
R_15/allocator_unit/arb_S_X           793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_1
R_15/allocator_unit/arb_W_X           793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_2
R_15/allocator_unit/arb_X_E           702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_3
R_15/allocator_unit/arb_X_L           702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_0
R_15/allocator_unit/arb_X_N           702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_4
R_15/allocator_unit/arb_X_S           702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_1
R_15/allocator_unit/arb_X_W           702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_2
R_2                                105371.4817      6.3      28.2240       0.0000  0.0000  router_credit_based_DATA_WIDTH32_current_address2_NoC_size4
R_2/FIFO_E                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_68
R_2/FIFO_L                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_65
R_2/FIFO_N                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_69
R_2/FIFO_S                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_66
R_2/FIFO_W                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_67
R_2/LBDR_E                           3305.0305      0.2    1391.4432    1913.5873  0.0000  LBDR_cur_addr_rst2_NoC_size4_3
R_2/LBDR_L                           3305.0305      0.2    1391.4432    1913.5873  0.0000  LBDR_cur_addr_rst2_NoC_size4_0
R_2/LBDR_N                           3305.0305      0.2    1391.4432    1913.5873  0.0000  LBDR_cur_addr_rst2_NoC_size4_4
R_2/LBDR_S                           3305.0305      0.2    1391.4432    1913.5873  0.0000  LBDR_cur_addr_rst2_NoC_size4_1
R_2/LBDR_W                           3305.0305      0.2    1391.4432    1913.5873  0.0000  LBDR_cur_addr_rst2_NoC_size4_2
R_2/XBAR_E                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_68
R_2/XBAR_L                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_65
R_2/XBAR_N                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_69
R_2/XBAR_S                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_66
R_2/XBAR_W                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_67
R_2/allocator_unit                   9268.7617      0.6    1140.2496     649.1520  0.0000  allocator_13
R_2/allocator_unit/arb_E_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_68
R_2/allocator_unit/arb_L_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_65
R_2/allocator_unit/arb_N_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_69
R_2/allocator_unit/arb_S_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_66
R_2/allocator_unit/arb_W_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_67
R_2/allocator_unit/arb_X_E            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_68
R_2/allocator_unit/arb_X_L            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_65
R_2/allocator_unit/arb_X_N            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_69
R_2/allocator_unit/arb_X_S            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_66
R_2/allocator_unit/arb_X_W            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_67
R_3                                101970.4896      6.1      28.2240       0.0000  0.0000  router_credit_based_DATA_WIDTH32_current_address3_NoC_size4
R_3/FIFO_E                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_63
R_3/FIFO_L                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_60
R_3/FIFO_N                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_64
R_3/FIFO_S                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_61
R_3/FIFO_W                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_62
R_3/LBDR_E                           2624.8321      0.2    1092.2688    1532.5632  0.0000  LBDR_cur_addr_rst3_NoC_size4_3
R_3/LBDR_L                           2624.8321      0.2    1092.2688    1532.5632  0.0000  LBDR_cur_addr_rst3_NoC_size4_0
R_3/LBDR_N                           2624.8321      0.2    1092.2688    1532.5632  0.0000  LBDR_cur_addr_rst3_NoC_size4_4
R_3/LBDR_S                           2624.8321      0.2    1092.2688    1532.5632  0.0000  LBDR_cur_addr_rst3_NoC_size4_1
R_3/LBDR_W                           2624.8321      0.2    1092.2688    1532.5632  0.0000  LBDR_cur_addr_rst3_NoC_size4_2
R_3/XBAR_E                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_63
R_3/XBAR_L                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_60
R_3/XBAR_N                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_64
R_3/XBAR_S                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_61
R_3/XBAR_W                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_62
R_3/allocator_unit                   9268.7617      0.6    1140.2496     649.1520  0.0000  allocator_12
R_3/allocator_unit/arb_E_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_63
R_3/allocator_unit/arb_L_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_60
R_3/allocator_unit/arb_N_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_64
R_3/allocator_unit/arb_S_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_61
R_3/allocator_unit/arb_W_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_62
R_3/allocator_unit/arb_X_E            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_63
R_3/allocator_unit/arb_X_L            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_60
R_3/allocator_unit/arb_X_N            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_64
R_3/allocator_unit/arb_X_S            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_61
R_3/allocator_unit/arb_X_W            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_62
R_4                                105329.1457      6.3      28.2240       0.0000  0.0000  router_credit_based_DATA_WIDTH32_current_address4_NoC_size4
R_4/FIFO_E                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_58
R_4/FIFO_L                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_55
R_4/FIFO_N                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_59
R_4/FIFO_S                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_56
R_4/FIFO_W                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_57
R_4/LBDR_E                           3296.5633      0.2    1382.9760    1913.5873  0.0000  LBDR_cur_addr_rst4_NoC_size4_3
R_4/LBDR_L                           3296.5633      0.2    1382.9760    1913.5873  0.0000  LBDR_cur_addr_rst4_NoC_size4_0
R_4/LBDR_N                           3296.5633      0.2    1382.9760    1913.5873  0.0000  LBDR_cur_addr_rst4_NoC_size4_4
R_4/LBDR_S                           3296.5633      0.2    1382.9760    1913.5873  0.0000  LBDR_cur_addr_rst4_NoC_size4_1
R_4/LBDR_W                           3296.5633      0.2    1382.9760    1913.5873  0.0000  LBDR_cur_addr_rst4_NoC_size4_2
R_4/XBAR_E                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_58
R_4/XBAR_L                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_55
R_4/XBAR_N                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_59
R_4/XBAR_S                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_56
R_4/XBAR_W                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_57
R_4/allocator_unit                   9268.7617      0.6    1140.2496     649.1520  0.0000  allocator_11
R_4/allocator_unit/arb_E_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_58
R_4/allocator_unit/arb_L_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_55
R_4/allocator_unit/arb_N_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_59
R_4/allocator_unit/arb_S_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_56
R_4/allocator_unit/arb_W_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_57
R_4/allocator_unit/arb_X_E            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_58
R_4/allocator_unit/arb_X_L            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_55
R_4/allocator_unit/arb_X_N            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_59
R_4/allocator_unit/arb_X_S            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_56
R_4/allocator_unit/arb_X_W            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_57
R_5                                108617.2418      6.4      28.2240       0.0000  0.0000  router_credit_based_DATA_WIDTH32_current_address5_NoC_size4
R_5/FIFO_E                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_53
R_5/FIFO_L                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_50
R_5/FIFO_N                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_54
R_5/FIFO_S                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_51
R_5/FIFO_W                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_52
R_5/LBDR_E                           3954.1825      0.2    1659.5712    2294.6113  0.0000  LBDR_cur_addr_rst5_NoC_size4_3
R_5/LBDR_L                           3954.1825      0.2    1659.5712    2294.6113  0.0000  LBDR_cur_addr_rst5_NoC_size4_0
R_5/LBDR_N                           3954.1825      0.2    1659.5712    2294.6113  0.0000  LBDR_cur_addr_rst5_NoC_size4_4
R_5/LBDR_S                           3954.1825      0.2    1659.5712    2294.6113  0.0000  LBDR_cur_addr_rst5_NoC_size4_1
R_5/LBDR_W                           3954.1825      0.2    1659.5712    2294.6113  0.0000  LBDR_cur_addr_rst5_NoC_size4_2
R_5/XBAR_E                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_53
R_5/XBAR_L                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_50
R_5/XBAR_N                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_54
R_5/XBAR_S                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_51
R_5/XBAR_W                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_52
R_5/allocator_unit                   9268.7617      0.6    1140.2496     649.1520  0.0000  allocator_10
R_5/allocator_unit/arb_E_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_53
R_5/allocator_unit/arb_L_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_50
R_5/allocator_unit/arb_N_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_54
R_5/allocator_unit/arb_S_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_51
R_5/allocator_unit/arb_W_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_52
R_5/allocator_unit/arb_X_E            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_53
R_5/allocator_unit/arb_X_L            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_50
R_5/allocator_unit/arb_X_N            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_54
R_5/allocator_unit/arb_X_S            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_51
R_5/allocator_unit/arb_X_W            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_52
R_6                                108574.9058      6.4      28.2240       0.0000  0.0000  router_credit_based_DATA_WIDTH32_current_address6_NoC_size4
R_6/FIFO_E                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_48
R_6/FIFO_L                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_45
R_6/FIFO_N                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_49
R_6/FIFO_S                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_46
R_6/FIFO_W                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_47
R_6/LBDR_E                           3945.7153      0.2    1651.1040    2294.6113  0.0000  LBDR_cur_addr_rst6_NoC_size4_3
R_6/LBDR_L                           3945.7153      0.2    1651.1040    2294.6113  0.0000  LBDR_cur_addr_rst6_NoC_size4_0
R_6/LBDR_N                           3945.7153      0.2    1651.1040    2294.6113  0.0000  LBDR_cur_addr_rst6_NoC_size4_4
R_6/LBDR_S                           3945.7153      0.2    1651.1040    2294.6113  0.0000  LBDR_cur_addr_rst6_NoC_size4_1
R_6/LBDR_W                           3945.7153      0.2    1651.1040    2294.6113  0.0000  LBDR_cur_addr_rst6_NoC_size4_2
R_6/XBAR_E                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_48
R_6/XBAR_L                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_45
R_6/XBAR_N                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_49
R_6/XBAR_S                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_46
R_6/XBAR_W                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_47
R_6/allocator_unit                   9268.7617      0.6    1140.2496     649.1520  0.0000  allocator_9
R_6/allocator_unit/arb_E_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_48
R_6/allocator_unit/arb_L_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_45
R_6/allocator_unit/arb_N_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_49
R_6/allocator_unit/arb_S_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_46
R_6/allocator_unit/arb_W_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_47
R_6/allocator_unit/arb_X_E            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_48
R_6/allocator_unit/arb_X_L            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_45
R_6/allocator_unit/arb_X_N            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_49
R_6/allocator_unit/arb_X_S            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_46
R_6/allocator_unit/arb_X_W            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_47
R_7                                105329.1457      6.3      28.2240       0.0000  0.0000  router_credit_based_DATA_WIDTH32_current_address7_NoC_size4
R_7/FIFO_E                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_43
R_7/FIFO_L                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_40
R_7/FIFO_N                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_44
R_7/FIFO_S                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_41
R_7/FIFO_W                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_42
R_7/LBDR_E                           3296.5633      0.2    1382.9760    1913.5873  0.0000  LBDR_cur_addr_rst7_NoC_size4_3
R_7/LBDR_L                           3296.5633      0.2    1382.9760    1913.5873  0.0000  LBDR_cur_addr_rst7_NoC_size4_0
R_7/LBDR_N                           3296.5633      0.2    1382.9760    1913.5873  0.0000  LBDR_cur_addr_rst7_NoC_size4_4
R_7/LBDR_S                           3296.5633      0.2    1382.9760    1913.5873  0.0000  LBDR_cur_addr_rst7_NoC_size4_1
R_7/LBDR_W                           3296.5633      0.2    1382.9760    1913.5873  0.0000  LBDR_cur_addr_rst7_NoC_size4_2
R_7/XBAR_E                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_43
R_7/XBAR_L                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_40
R_7/XBAR_N                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_44
R_7/XBAR_S                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_41
R_7/XBAR_W                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_42
R_7/allocator_unit                   9268.7617      0.6    1140.2496     649.1520  0.0000  allocator_8
R_7/allocator_unit/arb_E_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_43
R_7/allocator_unit/arb_L_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_40
R_7/allocator_unit/arb_N_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_44
R_7/allocator_unit/arb_S_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_41
R_7/allocator_unit/arb_W_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_42
R_7/allocator_unit/arb_X_E            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_43
R_7/allocator_unit/arb_X_L            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_40
R_7/allocator_unit/arb_X_N            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_44
R_7/allocator_unit/arb_X_S            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_41
R_7/allocator_unit/arb_X_W            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_42
R_8                                105315.0337      6.3      28.2240       0.0000  0.0000  router_credit_based_DATA_WIDTH32_current_address8_NoC_size4
R_8/FIFO_E                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_38
R_8/FIFO_L                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_35
R_8/FIFO_N                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_39
R_8/FIFO_S                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_36
R_8/FIFO_W                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_37
R_8/LBDR_E                           3293.7409      0.2    1380.1536    1913.5873  0.0000  LBDR_cur_addr_rst8_NoC_size4_3
R_8/LBDR_L                           3293.7409      0.2    1380.1536    1913.5873  0.0000  LBDR_cur_addr_rst8_NoC_size4_0
R_8/LBDR_N                           3293.7409      0.2    1380.1536    1913.5873  0.0000  LBDR_cur_addr_rst8_NoC_size4_4
R_8/LBDR_S                           3293.7409      0.2    1380.1536    1913.5873  0.0000  LBDR_cur_addr_rst8_NoC_size4_1
R_8/LBDR_W                           3293.7409      0.2    1380.1536    1913.5873  0.0000  LBDR_cur_addr_rst8_NoC_size4_2
R_8/XBAR_E                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_38
R_8/XBAR_L                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_35
R_8/XBAR_N                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_39
R_8/XBAR_S                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_36
R_8/XBAR_W                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_37
R_8/allocator_unit                   9268.7617      0.6    1140.2496     649.1520  0.0000  allocator_7
R_8/allocator_unit/arb_E_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_38
R_8/allocator_unit/arb_L_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_35
R_8/allocator_unit/arb_N_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_39
R_8/allocator_unit/arb_S_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_36
R_8/allocator_unit/arb_W_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_37
R_8/allocator_unit/arb_X_E            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_38
R_8/allocator_unit/arb_X_L            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_35
R_8/allocator_unit/arb_X_N            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_39
R_8/allocator_unit/arb_X_S            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_36
R_8/allocator_unit/arb_X_W            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_37
R_9                                108574.9058      6.4      28.2240       0.0000  0.0000  router_credit_based_DATA_WIDTH32_current_address9_NoC_size4
R_9/FIFO_E                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_33
R_9/FIFO_L                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_30
R_9/FIFO_N                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_34
R_9/FIFO_S                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_31
R_9/FIFO_W                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_32
R_9/LBDR_E                           3945.7153      0.2    1651.1040    2294.6113  0.0000  LBDR_cur_addr_rst9_NoC_size4_3
R_9/LBDR_L                           3945.7153      0.2    1651.1040    2294.6113  0.0000  LBDR_cur_addr_rst9_NoC_size4_0
R_9/LBDR_N                           3945.7153      0.2    1651.1040    2294.6113  0.0000  LBDR_cur_addr_rst9_NoC_size4_4
R_9/LBDR_S                           3945.7153      0.2    1651.1040    2294.6113  0.0000  LBDR_cur_addr_rst9_NoC_size4_1
R_9/LBDR_W                           3945.7153      0.2    1651.1040    2294.6113  0.0000  LBDR_cur_addr_rst9_NoC_size4_2
R_9/XBAR_E                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_33
R_9/XBAR_L                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_30
R_9/XBAR_N                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_34
R_9/XBAR_S                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_31
R_9/XBAR_W                           2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_32
R_9/allocator_unit                   9268.7617      0.6    1140.2496     649.1520  0.0000  allocator_6
R_9/allocator_unit/arb_E_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_33
R_9/allocator_unit/arb_L_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_30
R_9/allocator_unit/arb_N_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_34
R_9/allocator_unit/arb_S_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_31
R_9/allocator_unit/arb_W_X            793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_32
R_9/allocator_unit/arb_X_E            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_33
R_9/allocator_unit/arb_X_L            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_30
R_9/allocator_unit/arb_X_N            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_34
R_9/allocator_unit/arb_X_S            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_31
R_9/allocator_unit/arb_X_W            702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_32
--------------------------------  ------------  -------  -----------  -----------  ------  ------------------------------------------------------------
Total                                                    778866.6864  906103.2928  0.0000

1
